system:index,Name,OBJECTID,blue,green,latitude,longitude,nbr,ndvi,nir,pixel_qa,red,swir1,swir2,.geo
1_1_LT05_119038_20021110_00003df56065d95e53df_0,Changshu1,1,996,1241,31.67444365,120.7658911,0.14330874,0.24141876,2170,66,1326,2217,1626,
1_2_LE07_119038_20021118_00003df56065d95e53df_0,Changshu1,1,742,977,31.67444365,120.7658911,0.17006022,0.28180963,2040,66,1143,2013,1447,
1_2_LE07_119038_20021204_00003df56065d95e53df_0,Changshu1,1,1121,1219,31.67444365,120.7658911,0.25973585,0.1749842,1860,66,1306,1601,1093,
1_2_LE07_119038_20030105_00003df56065d95e53df_0,Changshu1,1,709,935,31.67444365,120.7658911,0.21131137,0.3195667,1949,66,1005,1703,1269,
1_1_LT05_119038_20030113_00003df56065d95e53df_0,Changshu1,1,1184,1210,31.67444365,120.7658911,0.18027571,0.19037433,2226,66,1514,2046,1546,
1_2_LE07_119038_20030121_00003df56065d95e53df_0,Changshu1,1,986,1041,31.67444365,120.7658911,0.23568206,0.23311396,1780,66,1107,1545,1101,
1_1_LT05_119038_20030129_00003df56065d95e53df_0,Changshu1,1,538,775,31.67444365,120.7658911,0.3040662,0.3512304,1812,66,870,1430,967,
1_2_LE07_119038_20030206_00003df56065d95e53df_0,Changshu1,1,557,771,31.67444365,120.7658911,0.2438464,0.38929617,1895,66,833,1600,1152,
1_1_LT05_119038_20030318_00003df56065d95e53df_0,Changshu1,1,688,1020,31.67444365,120.7658911,0.45331278,0.4230537,2358,66,956,1422,887,
1_1_LT05_119038_20030708_00003df56065d95e53df_0,Changshu1,1,1174,1370,31.67444365,120.7658911,0.44006568,0.34923077,2631,66,1269,1735,1023,
1_1_LT05_119038_20030724_00003df56065d95e53df_0,Changshu1,1,582,908,31.67444365,120.7658911,0.43641135,0.5068836,3010,66,985,1936,1181,
1_2_LE07_119038_20030801_00003df56065d95e53df_0,Changshu1,1,1001,1264,31.67444365,120.7658911,0.3793572,0.43794242,3047,66,1191,2316,1371,
1_1_LT05_119038_20030926_00003df56065d95e53df_0,Changshu1,1,736,1065,31.67444365,120.7658911,0.27852696,0.35962492,2465,66,1161,2098,1391,
1_1_LT05_119038_20031028_00003df56065d95e53df_0,Changshu1,1,906,1152,31.67444365,120.7658911,0.14535704,0.23193686,2029,66,1265,2011,1514,
1_2_LE07_119038_20031105_00003df56065d95e53df_0,Changshu1,1,1199,1286,31.67444365,120.7658911,0.16958678,0.13433793,1769,66,1350,1648,1256,
